title,company,location,posted_time,description,link
Python/Big data developer,"Capgemini America, Inc.","Jersey City, NJ",2 weeks ago,"About Capgemini A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of...",https://www.dice.com/jobs/detail/Python%26%2347Big-data-developer-Capgemini-America%2C-Inc.-Jersey-City-NJ-07097/KANBAY/6335524
Python Developer | Financial,Intellisearch,"New York City, NY",3 weeks ago,We are directly working with the hiring manager and looking for a Python Developer for our direct client in financial,https://www.dice.com/jobs/detail/Python-Developer-%7C-Financial-Intellisearch-New-York-City-NY-10001/90707274/6263092
Python Django Developer,Yoh - A Day & Zimmerman Company,"Brooklyn, NY",1 day ago,** Open to FT or RTH What You'll Be Doing Designing and developing cloud based software products conforming to industry,https://www.dice.com/jobs/detail/Python-Django-Developer-Yoh-%26%2345-A-Day-%26-Zimmerman-Company-Brooklyn-NY-10001/10107614/227627
Object Oriented Developer (Python),Matlen Silver,"New York, NY",2 days ago,A large investment bank in NYC is looking to bring on several python developers. Global Markets Operations Technology is creating,https://www.dice.com/jobs/detail/Object-Oriented-Developer-%28Python%29-Matlen-Silver-New-York-NY-10001/matlenny/6171023
Senior Software Engineer - Python...,2 Bridge Partners,"New York, NY",2 days ago,"2Bridge Partners has been engaged in the search for multiple direct-hire, full time, Software Engineers with a growth-stage technology...",https://www.dice.com/jobs/detail/Senior-Software-Engineer-%26%2345-Python-%26%2347-Flask-2-Bridge-Partners-New-York-NY-10001/90827581/6270627
Data Engineer(Java & Python),Infostretch Corporation,"Nyc, NY",3 weeks ago,"Infostretch is a digital-first professional services firm. By combining in-depth experience with ready-made tools, frameworks,...",https://www.dice.com/jobs/detail/Data-Engineer%28Java-%26-Python%29-Infostretch-Corporation-Nyc-NY-10001/10228528/data_engineer
Senior / Lead Python Engineer -...,2 Bridge Partners,"New York, NY",2 days ago,"2Bridge Partners has been engaged in the search for a direct-hire, full time, Software Engineer with a focus on Data",https://www.dice.com/jobs/detail/Senior-%26%2347-Lead-Python-Engineer-%26%2345-Data-Ops-2-Bridge-Partners-New-York-NY-10001/90827581/6233323
Software Engineering Manager /...,2 Bridge Partners,"New York, NY",2 days ago,2bridge Partners has been engaged in the search for a direct-hire Engineering Manager. Our client is looking for a Software,https://www.dice.com/jobs/detail/Software-Engineering-Manager-%26%2347-Lead-%26%2345-Python-%26%2345-JS-2-Bridge-Partners-New-York-NY-10001/90827581/6177791
Python Developer - Equities...,Affinity North,"New York, NY",1 week ago,Who We Are We are the front-office Strategies group of a preeminent investment bank supporting Equities Automated trading. Core Strats,https://www.dice.com/jobs/detail/Python-Developer-%26%2345-Equities-E%26%2345Trading-%26%2345-Major-investment-bank-Affinity-North-New-York-NY-10282/10460281/741321
Python Developer,Matlen Silver,"Jersey City, NJ",3 days ago,Financial Services - Python Developer Description: Global Technology and Operations team seeks an application developer to assist in...,https://www.dice.com/jobs/detail/Python-Developer-Matlen-Silver-Jersey-City-NJ-07097/matlenny/6093646
Python Developer,Cincinnati Bell Technology Solutions,"New York, NY",4 months ago,Solid understanding of Data structures and Algorithm Analysis. Strong Object-Oriented Design and Programming skills Proficient in...,https://www.dice.com/jobs/detail/Python-Developer-Cincinnati-Bell-Technology-Solutions-New-York-NY-10001/10119424/6183186
Lead Quantitative Developer -...,Affinity North,"New York, NY",1 week ago,A leading hedge fund seeks a lead quantitative developer. The firm seeks an outstanding individual and will compensate commensurately....,https://www.dice.com/jobs/detail/Lead-Quantitative-Developer-%26%2345-Leading-Hedge-Fund-%26%2345-C%2B%2B%26%2347Python-%26%2345-Fixed-Income-Affinity-North-New-York-NY-10001/10460281/6267260
Java or C++ or Python Developer,RMS Computer Corporation,"New York, NY",2 days ago,The Currencies and Commodities business consolidates and expands the firm's electronic market making and algorithmic trade execution....,https://www.dice.com/jobs/detail/Java-or-C%2B%2B-or-Python-Developer-RMS-Computer-Corporation-New-York-NY-10001/gsc/19%26%234501014
Object Oriented (Python),Matlen Silver,"New York, NY",2 days ago,A large investment bank in NYC is looking to bring on several python developers. Description: We are looking to fill,https://www.dice.com/jobs/detail/Object-Oriented-%28Python%29-Matlen-Silver-New-York-NY-10001/matlenny/6171027
Python Developer,Matlen Silver,"New York, NY",2 days ago,This role is an 18 month contract in NYC or Jersey City with a large investment bank. Description: Job Description,https://www.dice.com/jobs/detail/Python-Developer-Matlen-Silver-New-York-NY-10001/matlenny/6171018
Object Oriented Developer (python),Matlen Silver,"New York, NY",2 days ago,A Fortune 500 Company is looking to bring on several python developers. ABOUT THE PROJECT: Zinc requires a software engineer,https://www.dice.com/jobs/detail/Object-Oriented-Developer-%28python%29-Matlen-Silver-New-York-NY-10001/matlenny/6110999
Sr. QA Automation Engineer with...,BIT Solutions and Services Inc,"New York, NY",2 weeks ago,"One of our prestigious direct clients in the media industry, Sony Music, is looking for a Sr. QA Automation Engineer",https://www.dice.com/jobs/detail/Sr.-QA-Automation-Engineer-with-both-Java-%26-Python-BIT-Solutions-and-Services-Inc-New-York-NY-10010/10305697/6080039
Object Oriented Developer (Python),Matlen Silver,"New York, NY",2 days ago,A large investment bank in NYC is looking to bring on several python developers ASAP. ·Strong hands on Python/JAVA developer,https://www.dice.com/jobs/detail/Object-Oriented-Developer-%28Python%29-Matlen-Silver-New-York-NY-10001/matlenny/6171020
Python Developer,Isolusa,"New York, NY",3 weeks ago,What You Need for this Position Build and support solutions with PHP / Python / MySQL and web based technologies,https://www.dice.com/jobs/detail/Python-Developer-Isolusa-New-York-NY-10036/10132687/6754
Python Developer,TekTalent Inc,"Jersey City, NJ",4 weeks ago,"JOB DESCRIPTION: You will be developing software using Python, PostgreSQL, and Flask to improve the performance of enterprise websites...",https://www.dice.com/jobs/detail/Python-Developer-TekTalent-Inc-Jersey-City-NJ-07097/91018033/6330065
Data Engineer - Python,CyberCoders,"New York, NY",1 day ago,"Minimum Required Skills: Python, SQL, PostgreSQL If you are a Data Engineer with Python experience, please read on! We are",https://www.dice.com/jobs/detail/Data-Engineer-%26%2345-Python-CyberCoders-New-York-NY-10001/cybercod/NS3%26%23451555966107
Python Developer,The Caldwell Group,"New York, NY",12 hours ago,Required Skills and Experience Three plus years of in-depth Python development working on complex commercial applications using Python...,https://www.dice.com/jobs/detail/Python-Developer-The-Caldwell-Group-New-York-NY-10001/caldwell/2858
C++ / Python Big Data Distributed...,Gambit Technologies Inc,"New York, NY",1 day ago,C++ / Python Big Data Distributed Analytics Platform (150-300k) SUMMARY An Elite tech product shop is looking to add to,https://www.dice.com/jobs/detail/C%2B%2B-%26%2347-Python-Big-Data-Distributed-Analytics-Platform-%28150%26%2345300k%29-Gambit-Technologies-Inc-New-York-NY-10001/10116662/NT683337724
Senior Python Developer (100%...,CyberCoders,"New York, NY",1 day ago,"Minimum Required Skills: Python, Django, ORM, Rest, ElasticSearch, Apache, AWS, Microservices If you are a Python Developer (100%...",https://www.dice.com/jobs/detail/Senior-Python-Developer-%28100%26%2337-REMOTE%29-CyberCoders-New-York-NY-10001/cybercod/DF6%26%23451560355104
Scripting and Automation...,"Mythics, Inc","New York City, NY",3 weeks ago,"Mythics is seeking an Automation consultant to work with our Exadata and Migration consultant onsite at our client, FDNY, in",https://www.dice.com/jobs/detail/Scripting-and-Automation-Consultant-%28Ansible%2C-Python-in-Oracle-environment%29-Mythics%2C-Inc-New-York-City-NY-10001/10374939/2019%26%23453274
Python Engineer,Innovalus Technologies,"New York, NY",2 weeks ago,"Position: Python Engineer Location: New York Experience:5+yrs Technical Skills looking for : Python, Automation, Data Structure,...",https://www.dice.com/jobs/detail/Python-Engineer-Innovalus-Technologies-New-York-NY-10001/10481836/6339478
"Full Stack Developers (HTML5,...",CodeStak,"New York, NY",6 days ago,Principal Responsibilities Collaborate in a small team of full stack developers to build out portfolio management tools desktop suite...,https://www.dice.com/jobs/detail/Full-Stack-Developers-%28HTML5%2C-JavaScript%3B-Angular%2C-TypeScript%2C-MaterialUI%2C-Python%26%2347Java%2C-SQL%29-CodeStak-New-York-NY-10001/91085648/6331123
Automation Developer - Java or...,"Alltech Consulting Services, Inc.","New York, NY",5 days ago,• Responsible for handling highly complex quality assurance test execution and automation. This includes troubleshooting test...,https://www.dice.com/jobs/detail/Automation-Developer-%26%2345-Java-or-Python-Alltech-Consulting-Services%2C-Inc.-New-York-NY-10001/10114281/A2556%26%23451
